,status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_and_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,other_debtors_or_guarantors,property,age_in_years,other_installment_plans,housing,creditability
757,... >= 200 DM / salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),car (new),1299,... < 100 DM,1 <= ... < 4 years,1,none,real estate,74,none,own,0
758,... >= 200 DM / salary assignments for at least 1 year,15,critical account/ other credits existing (not at this bank),radio/television,1271,unknown/ no savings account,1 <= ... < 4 years,3,none,unknown / no property,39,none,for free,1
759,no checking account,24,existing credits paid back duly till now,car (new),1393,... < 100 DM,1 <= ... < 4 years,2,guarantor,real estate,31,none,own,0
760,... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),691,... < 100 DM,... >= 7 years,4,none,building society savings agreement/ life insurance,35,none,own,1
761,no checking account,15,critical account/ other credits existing (not at this bank),car (new),5045,unknown/ no savings account,... >= 7 years,1,none,"car or other, not in attribute Savings account/bonds",59,none,own,0
762,... < 0 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,2124,... < 100 DM,1 <= ... < 4 years,4,none,real estate,24,none,rent,1
763,... < 0 DM,12,existing credits paid back duly till now,radio/television,2214,... < 100 DM,1 <= ... < 4 years,4,none,building society savings agreement/ life insurance,24,none,own,0
764,no checking account,21,critical account/ other credits existing (not at this bank),car (new),12680,unknown/ no savings account,... >= 7 years,4,none,unknown / no property,30,none,for free,1
765,no checking account,24,critical account/ other credits existing (not at this bank),car (new),2463,100 <= ... < 500 DM,4 <= ... < 7 years,4,none,building society savings agreement/ life insurance,27,none,own,0
766,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1155,... < 100 DM,... >= 7 years,3,guarantor,real estate,40,bank,own,0
767,... < 0 DM,30,existing credits paid back duly till now,furniture/equipment,3108,... < 100 DM,... < 1 year,2,none,building society savings agreement/ life insurance,31,none,own,1
768,no checking account,10,existing credits paid back duly till now,car (used),2901,unknown/ no savings account,... < 1 year,1,none,real estate,31,none,rent,0
769,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),furniture/equipment,3617,... < 100 DM,... >= 7 years,1,none,"car or other, not in attribute Savings account/bonds",28,none,rent,0
770,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1655,... < 100 DM,... >= 7 years,2,none,real estate,63,none,own,0
771,... < 0 DM,24,existing credits paid back duly till now,car (used),2812,unknown/ no savings account,... >= 7 years,2,none,real estate,26,none,rent,0
772,... < 0 DM,36,critical account/ other credits existing (not at this bank),education,8065,... < 100 DM,1 <= ... < 4 years,3,none,unknown / no property,25,none,own,1
773,no checking account,21,critical account/ other credits existing (not at this bank),car (used),3275,... < 100 DM,... >= 7 years,1,none,"car or other, not in attribute Savings account/bonds",36,none,own,0
774,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2223,100 <= ... < 500 DM,... >= 7 years,4,none,building society savings agreement/ life insurance,52,bank,own,0
775,... >= 200 DM / salary assignments for at least 1 year,12,critical account/ other credits existing (not at this bank),car (new),1480,500 <= ... < 1000 DM,unemployed,2,none,unknown / no property,66,bank,for free,0
776,... < 0 DM,24,existing credits paid back duly till now,car (new),1371,unknown/ no savings account,1 <= ... < 4 years,4,none,real estate,25,none,rent,1
777,no checking account,36,critical account/ other credits existing (not at this bank),car (new),3535,... < 100 DM,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",37,none,own,0
778,... < 0 DM,18,existing credits paid back duly till now,radio/television,3509,... < 100 DM,4 <= ... < 7 years,4,guarantor,real estate,25,none,own,0
779,no checking account,36,critical account/ other credits existing (not at this bank),car (used),5711,... >= 1000 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",38,none,own,0
780,0 <= ... < 200 DM,18,existing credits paid back duly till now,repairs,3872,... < 100 DM,unemployed,2,none,"car or other, not in attribute Savings account/bonds",67,none,own,0
781,0 <= ... < 200 DM,39,critical account/ other credits existing (not at this bank),radio/television,4933,... < 100 DM,4 <= ... < 7 years,2,guarantor,real estate,25,none,own,1
782,no checking account,24,critical account/ other credits existing (not at this bank),car (new),1940,... >= 1000 DM,... >= 7 years,4,none,real estate,60,none,own,0
783,0 <= ... < 200 DM,12,no credits taken/ all credits paid back duly,retraining,1410,... < 100 DM,1 <= ... < 4 years,2,none,real estate,31,none,own,0
784,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),836,100 <= ... < 500 DM,... < 1 year,4,none,building society savings agreement/ life insurance,23,bank,own,1
785,0 <= ... < 200 DM,20,existing credits paid back duly till now,car (used),6468,unknown/ no savings account,unemployed,1,none,real estate,60,none,own,0
786,0 <= ... < 200 DM,18,existing credits paid back duly till now,business,1941,... >= 1000 DM,1 <= ... < 4 years,4,none,building society savings agreement/ life insurance,35,none,own,0
787,no checking account,22,existing credits paid back duly till now,radio/television,2675,500 <= ... < 1000 DM,... >= 7 years,3,none,"car or other, not in attribute Savings account/bonds",40,none,own,0
788,no checking account,48,critical account/ other credits existing (not at this bank),car (used),2751,unknown/ no savings account,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",38,none,own,0
789,0 <= ... < 200 DM,48,delay in paying off in the past,education,6224,... < 100 DM,... >= 7 years,4,none,unknown / no property,50,none,for free,1
790,... < 0 DM,40,critical account/ other credits existing (not at this bank),education,5998,... < 100 DM,1 <= ... < 4 years,4,none,unknown / no property,27,bank,own,1
791,0 <= ... < 200 DM,21,existing credits paid back duly till now,business,1188,... < 100 DM,... >= 7 years,2,none,building society savings agreement/ life insurance,39,none,own,1
792,no checking account,24,existing credits paid back duly till now,car (used),6313,unknown/ no savings account,... >= 7 years,3,none,"car or other, not in attribute Savings account/bonds",41,none,own,0
793,no checking account,6,critical account/ other credits existing (not at this bank),furniture/equipment,1221,unknown/ no savings account,1 <= ... < 4 years,1,none,building society savings agreement/ life insurance,27,none,own,0
794,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,furniture/equipment,2892,... < 100 DM,... >= 7 years,3,none,unknown / no property,51,none,for free,0
795,no checking account,24,existing credits paid back duly till now,furniture/equipment,3062,500 <= ... < 1000 DM,... >= 7 years,4,none,unknown / no property,32,none,rent,0
796,no checking account,9,existing credits paid back duly till now,furniture/equipment,2301,100 <= ... < 500 DM,... < 1 year,2,none,building society savings agreement/ life insurance,22,none,rent,0
797,... < 0 DM,18,existing credits paid back duly till now,car (used),7511,unknown/ no savings account,... >= 7 years,1,none,building society savings agreement/ life insurance,51,none,for free,1
798,no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1258,... < 100 DM,... < 1 year,2,none,building society savings agreement/ life insurance,22,none,rent,0
799,no checking account,24,delay in paying off in the past,car (new),717,unknown/ no savings account,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",54,none,own,0
800,0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),1549,unknown/ no savings account,... < 1 year,4,none,real estate,35,none,own,0
801,no checking account,24,critical account/ other credits existing (not at this bank),education,1597,... < 100 DM,... >= 7 years,4,none,unknown / no property,54,none,for free,0
802,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),radio/television,1795,... < 100 DM,... >= 7 years,3,guarantor,real estate,48,bank,rent,0
803,... < 0 DM,20,critical account/ other credits existing (not at this bank),furniture/equipment,4272,... < 100 DM,... >= 7 years,1,none,building society savings agreement/ life insurance,24,none,own,0
804,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,976,unknown/ no savings account,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",35,none,own,0
805,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),7472,unknown/ no savings account,unemployed,1,none,real estate,24,none,rent,0
806,... < 0 DM,36,existing credits paid back duly till now,car (new),9271,... < 100 DM,4 <= ... < 7 years,2,none,"car or other, not in attribute Savings account/bonds",24,none,own,1
807,0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,590,... < 100 DM,... < 1 year,3,none,real estate,26,none,own,0
808,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,930,unknown/ no savings account,... >= 7 years,4,none,real estate,65,none,own,0
809,0 <= ... < 200 DM,42,all credits at this bank paid back duly,car (used),9283,... < 100 DM,unemployed,1,none,unknown / no property,55,bank,for free,0
810,0 <= ... < 200 DM,15,no credits taken/ all credits paid back duly,car (new),1778,... < 100 DM,... < 1 year,2,none,real estate,26,none,rent,1
811,0 <= ... < 200 DM,8,existing credits paid back duly till now,business,907,... < 100 DM,... < 1 year,3,none,real estate,26,none,own,0
812,0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,484,... < 100 DM,4 <= ... < 7 years,3,guarantor,real estate,28,bank,own,0
813,... < 0 DM,36,critical account/ other credits existing (not at this bank),car (used),9629,... < 100 DM,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",24,none,own,1
814,... < 0 DM,48,existing credits paid back duly till now,domestic appliances,3051,... < 100 DM,1 <= ... < 4 years,3,none,"car or other, not in attribute Savings account/bonds",54,none,own,1
815,... < 0 DM,48,existing credits paid back duly till now,car (new),3931,... < 100 DM,4 <= ... < 7 years,4,none,unknown / no property,46,none,for free,1
816,0 <= ... < 200 DM,36,delay in paying off in the past,car (new),7432,... < 100 DM,1 <= ... < 4 years,2,none,building society savings agreement/ life insurance,54,none,rent,0
817,no checking account,6,existing credits paid back duly till now,domestic appliances,1338,500 <= ... < 1000 DM,1 <= ... < 4 years,1,none,real estate,62,none,own,0
818,no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1554,... < 100 DM,4 <= ... < 7 years,1,none,"car or other, not in attribute Savings account/bonds",24,none,rent,0
819,... < 0 DM,36,existing credits paid back duly till now,others,15857,... < 100 DM,unemployed,2,co-applicant,"car or other, not in attribute Savings account/bonds",43,none,own,0
820,... < 0 DM,18,existing credits paid back duly till now,radio/television,1345,... < 100 DM,1 <= ... < 4 years,4,none,real estate,26,bank,own,1
821,no checking account,12,existing credits paid back duly till now,car (new),1101,... < 100 DM,1 <= ... < 4 years,3,none,real estate,27,none,own,0
822,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,3016,... < 100 DM,1 <= ... < 4 years,3,none,"car or other, not in attribute Savings account/bonds",24,none,own,0
823,... < 0 DM,36,existing credits paid back duly till now,furniture/equipment,2712,... < 100 DM,... >= 7 years,2,none,building society savings agreement/ life insurance,41,bank,own,1
824,... < 0 DM,8,critical account/ other credits existing (not at this bank),car (new),731,... < 100 DM,... >= 7 years,4,none,real estate,47,none,own,0
825,no checking account,18,critical account/ other credits existing (not at this bank),furniture/equipment,3780,... < 100 DM,... < 1 year,3,none,"car or other, not in attribute Savings account/bonds",35,none,own,0
826,... < 0 DM,21,critical account/ other credits existing (not at this bank),car (new),1602,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",30,none,own,0
827,... < 0 DM,18,critical account/ other credits existing (not at this bank),car (new),3966,... < 100 DM,... >= 7 years,1,none,real estate,33,bank,rent,1
828,no checking account,18,no credits taken/ all credits paid back duly,business,4165,... < 100 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",36,stores,own,1
829,... < 0 DM,36,existing credits paid back duly till now,car (used),8335,unknown/ no savings account,... >= 7 years,3,none,unknown / no property,47,none,for free,1
830,0 <= ... < 200 DM,48,delay in paying off in the past,business,6681,unknown/ no savings account,1 <= ... < 4 years,4,none,unknown / no property,38,none,for free,0
831,no checking account,24,delay in paying off in the past,business,2375,500 <= ... < 1000 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",44,none,own,0
832,... < 0 DM,18,existing credits paid back duly till now,car (new),1216,... < 100 DM,... < 1 year,4,none,"car or other, not in attribute Savings account/bonds",23,none,rent,1
833,... < 0 DM,45,no credits taken/ all credits paid back duly,business,11816,... < 100 DM,... >= 7 years,2,none,"car or other, not in attribute Savings account/bonds",29,none,rent,1
834,0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,5084,unknown/ no savings account,... >= 7 years,2,none,"car or other, not in attribute Savings account/bonds",42,none,own,0
835,... >= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,radio/television,2327,... < 100 DM,... < 1 year,2,none,real estate,25,none,own,1
836,... < 0 DM,12,no credits taken/ all credits paid back duly,car (new),1082,... < 100 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",48,bank,own,1
837,no checking account,12,existing credits paid back duly till now,radio/television,886,unknown/ no savings account,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",21,none,own,0
838,no checking account,4,existing credits paid back duly till now,furniture/equipment,601,... < 100 DM,... < 1 year,1,none,real estate,23,none,rent,0
839,... < 0 DM,24,critical account/ other credits existing (not at this bank),car (used),2957,... < 100 DM,... >= 7 years,4,none,building society savings agreement/ life insurance,63,none,own,0
840,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2611,... < 100 DM,... >= 7 years,4,co-applicant,real estate,46,none,own,0
841,... < 0 DM,36,existing credits paid back duly till now,furniture/equipment,5179,... < 100 DM,4 <= ... < 7 years,4,none,building society savings agreement/ life insurance,29,none,own,1
842,no checking account,21,delay in paying off in the past,car (used),2993,... < 100 DM,1 <= ... < 4 years,3,none,real estate,28,stores,own,0
843,no checking account,18,existing credits paid back duly till now,repairs,1943,... < 100 DM,... < 1 year,4,none,real estate,23,none,own,1
844,no checking account,24,all credits at this bank paid back duly,business,1559,... < 100 DM,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",50,bank,own,0
845,no checking account,18,existing credits paid back duly till now,furniture/equipment,3422,... < 100 DM,... >= 7 years,4,none,building society savings agreement/ life insurance,47,bank,own,0
846,0 <= ... < 200 DM,21,existing credits paid back duly till now,furniture/equipment,3976,unknown/ no savings account,4 <= ... < 7 years,2,none,"car or other, not in attribute Savings account/bonds",35,none,own,0
847,no checking account,18,existing credits paid back duly till now,car (new),6761,unknown/ no savings account,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",68,none,rent,1
848,no checking account,24,existing credits paid back duly till now,car (new),1249,... < 100 DM,... < 1 year,4,none,real estate,28,none,own,0
849,... < 0 DM,9,existing credits paid back duly till now,radio/television,1364,... < 100 DM,4 <= ... < 7 years,3,none,real estate,59,none,own,0
850,... < 0 DM,12,existing credits paid back duly till now,radio/television,709,... < 100 DM,... >= 7 years,4,none,real estate,57,stores,own,1
851,... < 0 DM,20,critical account/ other credits existing (not at this bank),car (new),2235,... < 100 DM,1 <= ... < 4 years,4,guarantor,building society savings agreement/ life insurance,33,bank,rent,1
852,no checking account,24,critical account/ other credits existing (not at this bank),car (used),4042,unknown/ no savings account,4 <= ... < 7 years,3,none,building society savings agreement/ life insurance,43,none,own,0
853,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1471,... < 100 DM,1 <= ... < 4 years,4,none,unknown / no property,35,none,for free,0
854,... < 0 DM,18,all credits at this bank paid back duly,car (new),1442,... < 100 DM,4 <= ... < 7 years,4,none,unknown / no property,32,none,for free,1
855,no checking account,36,delay in paying off in the past,car (new),10875,... < 100 DM,... >= 7 years,2,none,"car or other, not in attribute Savings account/bonds",45,none,own,0
856,no checking account,24,existing credits paid back duly till now,car (new),1474,100 <= ... < 500 DM,... < 1 year,4,none,real estate,33,none,own,0
857,no checking account,10,existing credits paid back duly till now,retraining,894,unknown/ no savings account,4 <= ... < 7 years,4,none,building society savings agreement/ life insurance,40,none,own,0
858,no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,3343,... < 100 DM,1 <= ... < 4 years,4,none,unknown / no property,28,none,for free,0
859,... < 0 DM,15,existing credits paid back duly till now,car (new),3959,... < 100 DM,1 <= ... < 4 years,3,none,building society savings agreement/ life insurance,29,none,own,1
860,no checking account,9,existing credits paid back duly till now,car (new),3577,100 <= ... < 500 DM,1 <= ... < 4 years,1,guarantor,real estate,26,none,rent,0
861,no checking account,24,critical account/ other credits existing (not at this bank),car (used),5804,... >= 1000 DM,1 <= ... < 4 years,4,none,real estate,27,none,own,0
862,no checking account,18,delay in paying off in the past,business,2169,... < 100 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",28,none,own,1
863,... < 0 DM,24,existing credits paid back duly till now,radio/television,2439,... < 100 DM,... < 1 year,4,none,real estate,35,none,own,1
864,no checking account,27,critical account/ other credits existing (not at this bank),furniture/equipment,4526,... >= 1000 DM,... < 1 year,4,none,real estate,32,stores,own,0
865,no checking account,10,existing credits paid back duly till now,furniture/equipment,2210,... < 100 DM,1 <= ... < 4 years,2,none,real estate,25,bank,rent,1
866,no checking account,15,existing credits paid back duly till now,furniture/equipment,2221,500 <= ... < 1000 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",20,none,rent,0
867,... < 0 DM,18,existing credits paid back duly till now,radio/television,2389,... < 100 DM,... < 1 year,4,none,"car or other, not in attribute Savings account/bonds",27,stores,own,0
868,no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,3331,... < 100 DM,... >= 7 years,2,none,building society savings agreement/ life insurance,42,stores,own,0
869,no checking account,36,existing credits paid back duly till now,business,7409,unknown/ no savings account,... >= 7 years,3,none,building society savings agreement/ life insurance,37,none,own,0
870,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,652,... < 100 DM,... >= 7 years,4,none,building society savings agreement/ life insurance,24,none,rent,0
871,no checking account,36,delay in paying off in the past,furniture/equipment,7678,500 <= ... < 1000 DM,4 <= ... < 7 years,2,none,"car or other, not in attribute Savings account/bonds",40,none,own,0
872,... >= 200 DM / salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),car (new),1343,... < 100 DM,... >= 7 years,1,none,real estate,46,none,own,0
873,... < 0 DM,24,critical account/ other credits existing (not at this bank),business,1382,100 <= ... < 500 DM,4 <= ... < 7 years,4,none,real estate,26,none,own,0
874,no checking account,15,existing credits paid back duly till now,domestic appliances,874,unknown/ no savings account,... < 1 year,4,none,real estate,24,none,own,0
875,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,3590,... < 100 DM,1 <= ... < 4 years,2,co-applicant,building society savings agreement/ life insurance,29,none,own,0
876,0 <= ... < 200 DM,11,critical account/ other credits existing (not at this bank),car (new),1322,... >= 1000 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",40,none,own,0
877,... < 0 DM,18,all credits at this bank paid back duly,radio/television,1940,... < 100 DM,... < 1 year,3,co-applicant,unknown / no property,36,bank,for free,0
878,no checking account,36,existing credits paid back duly till now,radio/television,3595,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",28,none,own,0
879,... < 0 DM,9,existing credits paid back duly till now,car (new),1422,... < 100 DM,... < 1 year,3,none,unknown / no property,27,none,for free,1
880,no checking account,30,critical account/ other credits existing (not at this bank),radio/television,6742,unknown/ no savings account,4 <= ... < 7 years,2,none,building society savings agreement/ life insurance,36,none,own,0
881,no checking account,24,existing credits paid back duly till now,car (used),7814,... < 100 DM,4 <= ... < 7 years,3,none,"car or other, not in attribute Savings account/bonds",38,none,own,0
882,no checking account,24,existing credits paid back duly till now,car (used),9277,unknown/ no savings account,1 <= ... < 4 years,2,none,unknown / no property,48,none,for free,0
883,0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),2181,unknown/ no savings account,... >= 7 years,4,none,real estate,36,none,own,0
884,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1098,... < 100 DM,unemployed,4,none,"car or other, not in attribute Savings account/bonds",65,none,own,0
885,0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,4057,... < 100 DM,4 <= ... < 7 years,3,none,"car or other, not in attribute Savings account/bonds",43,none,own,1
886,... < 0 DM,12,existing credits paid back duly till now,education,795,... < 100 DM,... < 1 year,4,none,building society savings agreement/ life insurance,53,none,own,1
887,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),business,2825,unknown/ no savings account,4 <= ... < 7 years,4,none,unknown / no property,34,none,own,0
888,0 <= ... < 200 DM,48,existing credits paid back duly till now,business,15672,... < 100 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",23,none,own,1
889,no checking account,36,critical account/ other credits existing (not at this bank),car (new),6614,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",34,none,own,0
890,no checking account,28,all credits at this bank paid back duly,car (used),7824,unknown/ no savings account,... < 1 year,3,guarantor,real estate,40,bank,rent,0
891,... < 0 DM,27,critical account/ other credits existing (not at this bank),business,2442,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",43,stores,own,0
892,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1829,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",46,none,own,0
893,... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2171,... < 100 DM,1 <= ... < 4 years,4,none,building society savings agreement/ life insurance,38,bank,own,0
894,0 <= ... < 200 DM,36,critical account/ other credits existing (not at this bank),car (used),5800,... < 100 DM,1 <= ... < 4 years,3,none,"car or other, not in attribute Savings account/bonds",34,none,own,0
895,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1169,unknown/ no savings account,1 <= ... < 4 years,4,none,building society savings agreement/ life insurance,29,none,own,0
896,no checking account,36,delay in paying off in the past,car (used),8947,unknown/ no savings account,4 <= ... < 7 years,3,none,"car or other, not in attribute Savings account/bonds",31,stores,own,0
897,... < 0 DM,21,existing credits paid back duly till now,radio/television,2606,... < 100 DM,... < 1 year,4,none,building society savings agreement/ life insurance,28,none,rent,0
898,no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1592,... >= 1000 DM,4 <= ... < 7 years,3,none,building society savings agreement/ life insurance,35,none,own,0
899,no checking account,15,existing credits paid back duly till now,furniture/equipment,2186,unknown/ no savings account,4 <= ... < 7 years,1,none,real estate,33,bank,rent,0
900,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,4153,... < 100 DM,1 <= ... < 4 years,2,co-applicant,"car or other, not in attribute Savings account/bonds",42,none,own,1
901,... < 0 DM,16,critical account/ other credits existing (not at this bank),car (new),2625,... < 100 DM,... >= 7 years,2,guarantor,building society savings agreement/ life insurance,43,bank,rent,1
902,no checking account,20,critical account/ other credits existing (not at this bank),car (new),3485,unknown/ no savings account,... < 1 year,2,none,real estate,44,none,own,0
903,no checking account,36,critical account/ other credits existing (not at this bank),car (used),10477,unknown/ no savings account,... >= 7 years,2,none,unknown / no property,42,none,for free,0
904,no checking account,15,existing credits paid back duly till now,radio/television,1386,unknown/ no savings account,1 <= ... < 4 years,4,none,real estate,40,none,rent,0
905,no checking account,24,existing credits paid back duly till now,radio/television,1278,... < 100 DM,... >= 7 years,4,none,real estate,36,none,own,0
906,... < 0 DM,12,existing credits paid back duly till now,radio/television,1107,... < 100 DM,1 <= ... < 4 years,2,none,real estate,20,none,rent,0
907,... < 0 DM,21,existing credits paid back duly till now,car (new),3763,unknown/ no savings account,4 <= ... < 7 years,2,co-applicant,real estate,24,none,own,0
908,0 <= ... < 200 DM,36,existing credits paid back duly till now,education,3711,unknown/ no savings account,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",27,none,own,0
909,no checking account,15,delay in paying off in the past,car (used),3594,... < 100 DM,... < 1 year,1,none,building society savings agreement/ life insurance,46,none,own,0
910,0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),3195,unknown/ no savings account,1 <= ... < 4 years,1,none,real estate,33,none,own,0
911,no checking account,36,delay in paying off in the past,radio/television,4454,... < 100 DM,1 <= ... < 4 years,4,none,real estate,34,none,own,0
912,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),furniture/equipment,4736,... < 100 DM,... < 1 year,2,none,"car or other, not in attribute Savings account/bonds",25,bank,own,1
913,0 <= ... < 200 DM,30,existing credits paid back duly till now,radio/television,2991,unknown/ no savings account,... >= 7 years,2,none,"car or other, not in attribute Savings account/bonds",25,none,own,0
914,no checking account,11,existing credits paid back duly till now,business,2142,... >= 1000 DM,... >= 7 years,1,none,real estate,28,none,own,0
915,... < 0 DM,24,all credits at this bank paid back duly,business,3161,... < 100 DM,1 <= ... < 4 years,4,none,building society savings agreement/ life insurance,31,none,rent,1
916,0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,others,18424,... < 100 DM,1 <= ... < 4 years,1,none,building society savings agreement/ life insurance,32,bank,own,1
917,no checking account,10,existing credits paid back duly till now,car (used),2848,100 <= ... < 500 DM,1 <= ... < 4 years,1,co-applicant,real estate,32,none,own,0
918,... < 0 DM,6,existing credits paid back duly till now,car (new),14896,... < 100 DM,... >= 7 years,1,none,unknown / no property,68,bank,own,1
919,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,2359,100 <= ... < 500 DM,unemployed,1,none,building society savings agreement/ life insurance,33,none,own,1
920,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,3345,... < 100 DM,... >= 7 years,4,none,building society savings agreement/ life insurance,39,none,rent,1
921,no checking account,18,critical account/ other credits existing (not at this bank),furniture/equipment,1817,... < 100 DM,1 <= ... < 4 years,4,none,unknown / no property,28,none,own,0
922,no checking account,48,delay in paying off in the past,radio/television,12749,500 <= ... < 1000 DM,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",37,none,own,0
923,... < 0 DM,9,existing credits paid back duly till now,radio/television,1366,... < 100 DM,... < 1 year,3,none,building society savings agreement/ life insurance,22,none,rent,1
924,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),2002,... < 100 DM,4 <= ... < 7 years,3,none,building society savings agreement/ life insurance,30,none,rent,0
925,... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,6872,... < 100 DM,... < 1 year,2,none,building society savings agreement/ life insurance,55,bank,own,1
926,... < 0 DM,12,all credits at this bank paid back duly,car (new),697,... < 100 DM,... < 1 year,4,none,"car or other, not in attribute Savings account/bonds",46,bank,own,1
927,... < 0 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1049,... < 100 DM,... < 1 year,4,none,building society savings agreement/ life insurance,21,none,rent,0
928,... < 0 DM,48,existing credits paid back duly till now,car (used),10297,... < 100 DM,4 <= ... < 7 years,4,none,unknown / no property,39,stores,for free,1
929,no checking account,30,existing credits paid back duly till now,radio/television,1867,unknown/ no savings account,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",58,none,own,0
930,... < 0 DM,12,delay in paying off in the past,car (new),1344,... < 100 DM,1 <= ... < 4 years,4,none,real estate,43,none,own,0
931,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,1747,... < 100 DM,... < 1 year,4,co-applicant,building society savings agreement/ life insurance,24,none,own,0
932,0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,1670,... < 100 DM,... < 1 year,4,none,"car or other, not in attribute Savings account/bonds",22,none,own,1
933,no checking account,9,critical account/ other credits existing (not at this bank),car (new),1224,... < 100 DM,1 <= ... < 4 years,3,none,real estate,30,none,own,0
934,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,522,500 <= ... < 1000 DM,... >= 7 years,4,none,building society savings agreement/ life insurance,42,none,own,0
935,... < 0 DM,12,existing credits paid back duly till now,radio/television,1498,... < 100 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",23,bank,own,0
936,0 <= ... < 200 DM,30,delay in paying off in the past,radio/television,1919,100 <= ... < 500 DM,... < 1 year,4,none,unknown / no property,30,stores,own,1
937,... >= 200 DM / salary assignments for at least 1 year,9,existing credits paid back duly till now,radio/television,745,... < 100 DM,1 <= ... < 4 years,3,none,real estate,28,none,own,1
